id,id_municipio,id_estado,nome,localizacao,rede,coordenadas_latitude,coordenadas_longitude,has_inf,has_fund_ai,has_fund_af,has_fund_em
27004023,2707107,27,ESCOLA MUNICIPAL PROFESSORA ALZIRA MAZZONI DE ALMEIDA,Rural,Municipal,-9.504589,-37.676979,true,true,true,false
27004066,2707107,27,ESCOLA RURAL DOM ANTONIO BRANDAO,Rural,Municipal,-9.669503,-37.659067,true,true,true,false
27004074,2707107,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA DESEMBARGADOR ANTONIO NUNES ARAUJO,Rural,Municipal,-9.487268,-37.728627,true,true,true,false
27004082,2707107,27,ESCOLA MUNICIPAL DEPUTADO JOSE BANDEIRA,Rural,Municipal,-9.424250,-37.715396,false,true,true,false
27004210,2707107,27,ESCOLA MUNICIPAL FREI DAMIAO,Rural,Municipal,-9.389744,-37.669469,true,true,true,false
27004368,2707107,27,ESCOLA ESTADUAL DE XINGO II- EEX-II,Urbana,Estadual,-9.607684,-37.759785,false,false,true,true
27004376,2707107,27,ESCOLA ESTADUAL CELSO RODRIGUES REGO,Urbana,Estadual,-9.606498,-37.770780,false,false,true,true
27005933,2706406,27,COLEGIO SAO VICENTE,Urbana,Privada,-9.747190,-37.436336,true,true,true,true
27006077,2706406,27,UNIDADE MUNICIPAL DE ENSINO SITIO JOAO LEITE,Rural,Municipal,-9.643528,-37.507503,true,true,true,false
27006107,2706406,27,UNIDADE MUNICIPAL DE ENSINO PE DA SERRA,Rural,Municipal,-9.655275,-37.371960,true,true,false,false
27006123,2706406,27,UNIDADE MUNICIPAL DE ENSINO MANOEL RODRIGUES CORREIA,Rural,Municipal,-9.595358,-37.576380,true,true,false,false
27006131,2706406,27,UNIDADE MUNICIPAL DE ENSINO ANA TEREZA DE JESUS,Rural,Municipal,-9.682367,-37.395332,true,true,false,false
27006166,2706406,27,UNIDADE MUNICIPAL DE ENS PROF JAIME DE ALTAVILLA,Rural,Municipal,-9.671275,-37.382460,false,false,true,false
27006182,2706406,27,UNIDADE MUNICIPAL DE ENSINO JOSE GONCALVES DE ANDRADE,Rural,Municipal,-9.749628,-37.446500,true,true,true,false
27006204,2706406,27,UNIDADE MUNICIPAL DE ENSINO CAMPO NOVO,Rural,Municipal,-9.661429,-37.547999,false,false,true,false
27006212,2706406,27,UNIDADE MUNICIPAL VER ANTONIO MACHADO GUIMARAES,Rural,Municipal,-9.749378,-37.435172,true,true,false,false
27006280,2706406,27,UNIDADE MUNICIPAL DE ENSINO JOSE TAVARES DE CASTRO,Rural,Municipal,-9.786944,-37.341086,false,false,true,false
27006328,2706406,27,UNIDADE MUNICIPAL DE ENSINO JOAQUIM FONSECA,Urbana,Municipal,-9.742036,-37.434482,true,true,false,false
27006336,2706406,27,UNIDADE MUNICIPAL DE ENSINO PROF MANOEL ALVES,Rural,Municipal,-9.736831,-37.525878,true,true,false,false
27006352,2706406,27,UNIDADE MUNICIPAL DE ENSINO CAP MANOEL REGO,Rural,Municipal,-9.651189,-37.363731,true,true,false,false
27006379,2706406,27,UNIDADE MUNICIPAL DE ENSINO DE ALECRIM,Rural,Municipal,-9.812014,-37.318513,true,true,false,false
